Site.ID,Location,Lat,Long,Valid_from,AdjustedLat,AdjustedLong
15915,NOR,70.173758,23.304109,4/22/2008 2:00:00 AM,70.8,22.4
12715,NOR,64.921007,11.344715,4/22/2008 2:00:00 AM,64.921007,10.594715
12887,NOR,63.088281,7.90094,4/28/2008 2:00:00 AM,63.088281,7.15094
12243,NOR,62.802132,6.936547,5/7/2008 2:00:00 AM,62.802132,6.186547
26175,NOR,63.47131,8.139548,5/8/2008 2:00:00 AM,63.47131,7.389548
10150,NOR,59.809733,6.216811,5/15/2008 2:00:00 AM,59.809733,4.966811
14084,NOR,59.787153,6.127787,5/15/2008 2:00:00 AM,59.787153,4.877787
27776,NOR,63.418843,8.399643,5/23/2008 2:00:00 AM,63.418843,7.649643
11349,NOR,69.275536,17.094384,5/28/2008 2:00:00 AM,69.775536,16.894384
11662,NOR,60.513953,4.918838,6/4/2008 2:00:00 AM,60.513953,4.168838
10308,NOR,60.509642,4.924851,6/4/2008 2:00:00 AM,60.509642,4.174851
11502,NOR,60.120338,5.227146,6/13/2008 2:00:00 AM,60.120338,4.477146
11597,NOR,60.148834,5.155366,6/16/2008 2:00:00 AM,60.148834,4.405366
23835,NOR,60.102896,5.277753,6/16/2008 2:00:00 AM,60.102896,4.527753
13758,NOR,66.394128,12.911739,6/25/2008 2:00:00 AM,66.394128,12.161739
12859,NOR,62.632282,7.512244,6/25/2008 2:00:00 AM,62.657282,6.712244
11344,NOR,69.278594,17.137753,6/25/2008 2:00:00 AM,69.778594,16.937753
13312,NOR,69.650978,19.812063,6/25/2008 2:00:00 AM,70.350978,19.812063
12840,NOR,62.680645,7.267597,6/25/2008 2:00:00 AM,62.680645,6.517597
10203,NOR,62.63887,7.457298,6/25/2008 2:00:00 AM,62.66387,6.707298
10192,NOR,62.795791,6.662645,6/25/2008 2:00:00 AM,62.795791,5.912645
11342,NOR,69.18709,17.136341,6/25/2008 2:00:00 AM,69.68709,17.036341
11432,NOR,69.503945,17.931072,6/25/2008 2:00:00 AM,70.103945,17.931072
12894,NOR,63.058466,8.131554,6/25/2008 2:00:00 AM,63.098466,7.381554
13761,NOR,66.483182,12.926756,6/25/2008 2:00:00 AM,66.483182,12.176756
13762,NOR,66.391855,12.94327,6/25/2008 2:00:00 AM,66.391855,12.19327
10748,NOR,69.931748,19.574154,6/25/2008 2:00:00 AM,70.431748,19.574154
10755,NOR,70.030651,19.391556,6/25/2008 2:00:00 AM,70.530651,19.391556
13252,NOR,62.742224,6.850924,6/25/2008 2:00:00 AM,62.742224,6.100924
10758,NOR,69.998798,19.341603,6/25/2008 2:00:00 AM,70.598798,19.341603
11398,NOR,68.666102,15.901501,6/25/2008 2:00:00 AM,69.55,15.25
10787,NOR,69.778341,19.364115,6/25/2008 2:00:00 AM,70.303341,19.364115
10788,NOR,69.776549,19.364254,6/25/2008 2:00:00 AM,70.286549,19.364254
10992,NOR,66.478692,12.282295,6/25/2008 2:00:00 AM,66.478692,11.532295
10987,NOR,66.478223,12.307064,6/25/2008 2:00:00 AM,66.478223,11.557064
13585,NOR,66.411573,12.809461,6/25/2008 2:00:00 AM,66.411573,12.059461
14118,NOR,62.937514,7.512534,6/25/2008 2:00:00 AM,62.937514,6.762534
14119,NOR,63.001487,7.371045,6/25/2008 2:00:00 AM,63.001487,6.621045
12286,NOR,62.641473,6.27281,6/25/2008 2:00:00 AM,62.641473,5.52281
12288,NOR,62.650172,6.258345,6/25/2008 2:00:00 AM,62.650172,5.508345
13110,NOR,65.847619,12.237403,6/25/2008 2:00:00 AM,65.847619,11.487403
11246,NOR,68.661146,14.748825,6/25/2008 2:00:00 AM,68.811146,13.998825
10461,NOR,66.241504,12.717409,6/25/2008 2:00:00 AM,66.241504,11.967409
14124,NOR,62.208136,5.425037,6/25/2008 2:00:00 AM,62.208136,4.675037
13116,NOR,66.388629,12.424169,6/25/2008 2:00:00 AM,66.388629,11.674169
10459,NOR,66.3328,12.639874,6/25/2008 2:00:00 AM,66.3328,11.889874
12365,NOR,63.762875,8.847951,6/25/2008 2:00:00 AM,63.762875,8.097951
10895,NOR,65.491652,12.166986,6/25/2008 2:00:00 AM,65.491652,11.416986
13548,NOR,60.474354,5.659464,6/25/2008 2:00:00 AM,60.55,4.45
11612,NOR,60.092927,5.11869,7/1/2008 2:00:00 AM,60.092927,4.36869
11586,NOR,60.08995,5.201829,7/1/2008 2:00:00 AM,60.08995,4.451829
10284,NOR,70.020257,29.16643,7/1/2008 2:00:00 AM,70.700257,30.16643
11560,NOR,59.71239,5.39243,7/2/2008 2:00:00 AM,59.71239,4.64243
21075,NOR,60.415728,5.311088,7/2/2008 2:00:00 AM,60.415728,4.461088
10057,NOR,59.722053,5.384269,7/2/2008 2:00:00 AM,59.722053,4.634269
13636,NOR,59.598188,5.523481,7/2/2008 2:00:00 AM,59.748188,4.773481
10781,NOR,69.686517,18.694657,7/4/2008 2:00:00 AM,70.286517,18.694657
16735,NOR,69.677427,20.493788,7/23/2008 2:00:00 AM,70.377427,20.493788
12438,NOR,63.226419,8.538396,8/5/2008 2:00:00 AM,63.226419,7.788396
10847,NOR,70.652658,22.560661,8/12/2008 2:00:00 AM,71.252658,22.560661
10843,NOR,70.653348,22.685166,8/12/2008 2:00:00 AM,71.253348,22.685166
13696,NOR,59.832021,5.563388,9/4/2008 2:00:00 AM,59.832021,4.813388
12675,NOR,64.650367,11.393457,9/4/2008 2:00:00 AM,64.650367,10.643457
27437,NOR,63.254017,7.85895,9/15/2008 2:00:00 AM,63.254017,7.10895
12709,NOR,64.960205,11.620042,9/22/2008 2:00:00 AM,64.985205,10.870042
10782,NOR,69.934778,20.976495,10/27/2008 1:00:00 AM,70.434778,20.976495
